Freq.	V(n003)
1.00000000000000e-001	(-1.94788892914574e-007dB,-1.37999878239486e-002°)
1.02329299228075e-001	(-2.03969011916248e-007dB,-1.41214308253160e-002°)
1.04712854805090e-001	(-2.13581774527465e-007dB,-1.44503611954258e-002°)
1.07151930523761e-001	(-2.23647570490141e-007dB,-1.47869533374567e-002°)
1.09647819614319e-001	(-2.34187756766829e-007dB,-1.51313857169566e-002°)
1.12201845430196e-001	(-2.45224686470560e-007dB,-1.54838409564664e-002°)
1.14815362149688e-001	(-2.56781768653171e-007dB,-1.58445059323489e-002°)
1.17489755493953e-001	(-2.68883521343335e-007dB,-1.62135718738729e-002°)
1.20226443461741e-001	(-2.81555608191027e-007dB,-1.65912344646048e-002°)
1.23026877081238e-001	(-2.94824918506734e-007dB,-1.69776939461625e-002°)
1.25892541179417e-001	(-3.08719586548029e-007dB,-1.73731552243858e-002°)
1.28824955169313e-001	(-3.23269091809663e-007dB,-1.77778279779794e-002°)
1.31825673855641e-001	(-3.38504292775059e-007dB,-1.81919267696871e-002°)
1.34896288259165e-001	(-3.54457508884186e-007dB,-1.86156711600553e-002°)
1.38038426460288e-001	(-3.71162575500264e-007dB,-1.90492858238462e-002°)
1.41253754462275e-001	(-3.88654928770631e-007dB,-1.94930006691632e-002°)
1.44543977074593e-001	(-4.06971668308074e-007dB,-1.99470509593498e-002°)
1.47910838816821e-001	(-4.26151653623636e-007dB,-2.04116774377294e-002°)
1.51356124843621e-001	(-4.46235561021990e-007dB,-2.08871264552496e-002°)
1.54881661891248e-001	(-4.67265995463499e-007dB,-2.13736501010998e-002°)
1.58489319246111e-001	(-4.89287560960189e-007dB,-2.18715063363718e-002°)
1.62181009735893e-001	(-5.12346970509160e-007dB,-2.23809591308328e-002°)
1.65958690743756e-001	(-5.36493137703786e-007dB,-2.29022786028852e-002°)
1.69824365246174e-001	(-5.61777279916846e-007dB,-2.34357411627857e-002°)
1.73780082874937e-001	(-5.88253025340980e-007dB,-2.39816296592005e-002°)
1.77827941003892e-001	(-6.15976533529735e-007dB,-2.45402335291744e-002°)
1.81970085860998e-001	(-6.45006612081320e-007dB,-2.51118489515928e-002°)
1.86208713666287e-001	(-6.75404832358034e-007dB,-2.56967790042186e-002°)
1.90546071796325e-001	(-7.07235679921509e-007dB,-2.62953338243860e-002°)
1.94984459975804e-001	(-7.40566670252166e-007dB,-2.69078307734387e-002°)
1.99526231496888e-001	(-7.75468499184486e-007dB,-2.75345946049967e-002°)
2.04173794466953e-001	(-8.12015199128263e-007dB,-2.81759576371437e-002°)
2.08929613085404e-001	(-8.50284294325537e-007dB,-2.88322599286243e-002°)
2.13796208950223e-001	(-8.90356951285928e-007dB,-2.95038494591459e-002°)
2.18776162394955e-001	(-9.32318179367007e-007dB,-3.01910823138799e-002°)
2.23872113856834e-001	(-9.76256975423711e-007dB,-3.08943228722602e-002°)
2.29086765276777e-001	(-1.02226654560397e-006dB,-3.16139440011801e-002°)
2.34422881531992e-001	(-1.07044447507070e-006dB,-3.23503272526878e-002°)
2.39883291901949e-001	(-1.12089296426239e-006dB,-3.31038630662882e-002°)
2.45470891568503e-001	(-1.17371901790175e-006dB,-3.38749509759555e-002°)
2.51188643150958e-001	(-1.22903468318500e-006dB,-3.46639998219685e-002°)
2.57039578276886e-001	(-1.28695729472158e-006dB,-3.54714279676793e-002°)
2.63026799189538e-001	(-1.34760971561656e-006dB,-3.62976635213317e-002°)
2.69153480392691e-001	(-1.41112059205371e-006dB,-3.71431445630453e-002°)
2.75422870333816e-001	(-1.47762464645169e-006dB,-3.80083193770874e-002°)
2.81838293126445e-001	(-1.54726293879753e-006dB,-3.88936466895547e-002°)
2.88403150312660e-001	(-1.62018318005385e-006dB,-3.97995959115906e-002°)
2.95120922666638e-001	(-1.69654004845916e-006dB,-4.07266473882681e-002°)
3.01995172040201e-001	(-1.77649550293523e-006dB,-4.16752926532695e-002°)
